fit,lwr,upr,acre,wtp,wtp_lwer,wtp_upr,id,nation,study
4.883942492696945,0.7813452033114414,8.986539782082449,3501.000000158713,0.03774654131410134,6.239385214982535e-4,2.283560530540425,1,Nigeria,Acharya (2000)
4.897770899701004,0.7980157843330717,8.997526015068935,2.6399999995822863,50.75407867642846,0.8413368764665508,3061.7658328631483,2,Nigeria,Barbier (1993)
4.439299183705296,0.15878230470815868,8.719816062702435,29111.00004058549,0.002910087276585503,4.026253857210204e-5,0.21033467480395654,10,Uganda,Kakuru et al 2013
7.4799056560911295,3.1336713644189276,11.82613994776333,680001.0015371809,0.002605986726035624,3.3761880574023825e-5,0.20114894966777838,11,Kenya,Kipkemboi et al. (2007)
3.1395541499644004,-1.2688991016074196,7.54800740153622,240001.00024429374,9.622280020221683e-5,1.171415780836125e-6,0.007903963247060782,20,Malawi,Schuijt (2000
4.242707454449564,-0.5955260858895057,9.080940994788634,530.0000002405312,0.1313132547636341,0.0010401367408455874,16.577792322383576,21,Uganda,Schuijt 2002
4.194596864173337,0.001561864621109521,8.387631863725565,68933.00018290218,9.621949897147305e-4,1.4529515359978999e-5,0.06371989535055411,14,Uganda,L. Emerton (ed) 2005
4.838338674273999,0.6824961708040123,8.994181177743986,762601.0017477471,1.65564192919321e-4,2.5948182840930385e-6,0.010563938964460954,27,China,Wang et al. (2015)
1.299364661495527,-2.613676092312272,5.212405415303326,187000.99936120305,1.960933992383221e-5,3.917878540449338e-7,9.81465372850224e-4,13,Sri lanka,L. Emerton (ed) 2005
5.039905891676288,0.8920363928043216,9.187775390548255,140000.99938076522,0.0011032455445238384,1.742911547149964e-5,0.06983433746262137,8,China,Hao et al. (2012)
0.637156877980132,-3.634531415105789,4.908845171066053,21001.000007992374,9.004793151424322e-5,1.256906832413637e-6,0.006451257770970062,15,Cambodia,L. Emerton (ed) 2006
0.979720392360827,-3.2309326326364918,5.1903734173581455,146001.0000026155,1.8244473282420504e-5,2.7068734715230606e-7,0.0012296873453995125,16,Cambodia,L. Emerton (ed) 2007
8.845329850809968,3.8297176856239474,13.860942015995988,3456.0000002628412,2.008649731207336,0.013324518503883992,302.80071595106637,23,US,Schuijt and Brander
6.9515425881480635,2.802356434544362,11.100728741751766,198247.00059989069,0.005269992066426393,8.314599034339542e-5,0.3340247228458594,5,United States,Duffy and Kahara (2011)
6.983672997037991,2.9345586691356838,11.032787324940298,444575.0006171316,0.0024267531848928873,4.23172657740831e-5,0.13916615151431927,6,United States,Gleason et al. (2011)
6.9313475963646125,2.8648333099492147,10.997861882780011,120001.00059246972,0.008532202336540753,1.46216515772198e-4,0.4978813530551496,26,United States,Smith et al. (2011)
4.04155159994766,-0.35178270120803834,8.434885901103357,368.99999998504563,0.15424006232339318,0.0019063223862628104,12.4795244482034,9,United States,Jones (2011)
8.461864428099233,4.457815555740744,12.465913300457721,901.0000003528879,5.250688285966346,0.09578111889014554,287.8409418875636,18,United Kingdoms,Rouquette et al. (2011) a
8.207151291464141,4.209100212740287,12.205202370187996,1400.9999995278529,2.617474038982648,0.04803423307262225,142.6309926587139,19,United Kingdoms,Rouquette et al. (2011) b
-0.05277773651402845,-5.101300880708546,4.99574540768049,13800000.964241471,6.873846086062659e-8,4.412188519260445e-10,1.0708916858067246e-5,12,Brazil,L. Emerton (ed) 2005
7.075625487941833,2.394364458175213,11.756886517708454,6000000.976846102,1.9713048224527218e-4,1.8268712900885305e-6,0.021271573559169785,3,Australia,Colloff et al. (2016) a
3.6415219176605795,-1.083598584564898,8.366642419886057,10321.000004480009,0.003696333057364161,3.27851621446441e-5,0.41673968274685214,22,New Zeland,Schuijt and Brander
